"Sample_ID","n_seqs","NAME","ID","Source","Spiking_level","Treatment","Sampling_date","Sample_type","Species","Sample ID","Study ID","date sample was taken YYYY-MM-DD","Study Name","Sample Type","Date Received YYYY-MM-DD","Illumina Plate Number","GPrep Plate #:","Notebook Reference","pot_ID","type","treat","treat.rn","timepoint","species","species_tp","resp_norm_plant_height4","resp_norm_chlorophyll_content4_mean","resp_norm_leaf_number2","resp_norm_wet_shoot_weight","resp_norm_dry_shoot_weight","resp_norm_wet_root_weight","resp_norm_dry_root_weight","resp_norm_dry_total_weight","resp_norm_shoot_root_ratio","resp_norm_shoot_moisture","response_plant_height4","response_chlorophyll_content4_mean","response_leaf_number2","response_wet_shoot_weight","response_dry_shoot_weight","response_wet_root_weight","response_dry_root_weight","response_dry_total_weight","response_shoot_root_ratio","response_shoot_moisture"
"RD26",47821,"RD26",1385166,"C",NA,"C","2024-08-19","Soil","P","56-C-P","RD26","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","56-C-P","Soil","C","control-0","TP2","P","P_TP2",-0.193621313652782,-0.0430077702634032,-0.0586631218515008,-0.287402993059621,-0.323740292100082,-0.612593153394447,-0.0197301247654733,-0.22537473585548,-0.328560377283224,0.037813595482021,12.7291084241487,0.697358150206804,8.61773876012754,944.211027644899,106.258096995855,246.200942747546,49.0037276075766,157.265411639298,2.16836763616786,7.87775218371491
"RD27",30244,"RD27",1385167,"C",NA,"C","2024-08-19","Soil","P","57-C-P","RD27","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","57-C-P","Soil","C","control-0","TP2","P","P_TP2",0.119169134088948,0.0311015004343958,0.105287910258391,0.105457559722901,0.111391087304311,0.55856862112016,0.2093983408313,0.139787105031921,-0.122557463475603,-0.00927582370671365,15.8109255203497,0.734116515273795,9.65489384605631,1239.74361101685,143.664554680533,554.427208981766,57.4385751619311,202.561956643171,2.50118590643156,7.62477420166014
"RD28",38938,"RD28",1385168,"RW","US","US-RW","2024-08-06","Soil","R","4-US-RW-R","RD28","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","4-US-RW-R","Soil","US-RW","RW-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD29",61608,"RD29",1385169,"RW","US","US-RW","2024-08-06","Soil","R","5-US-RW-R","RD29","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","5-US-RW-R","Soil","US-RW","RW-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD3",46839,"RD3",1385143,NA,NA,NA,"2024-09-01","Soil",NA,"S3","RD3","2024-09-01","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","S3","Soil","GH: Soil only","GH: Soil only","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD30",20005,"RD30",1385170,"RW","US","US-RW","2024-08-06","Soil","R","6-US-RW-R","RD30","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","6-US-RW-R","Soil","US-RW","RW-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD31",38023,"RD31",1385171,"RW","SL1","SL1-RW","2024-08-06","Soil","R","13-SL1-RW-R","RD31","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","13-SL1-RW-R","Soil","SL1-RW","RW-1","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD32",31814,"RD32",1385172,"RW","SL1","SL1-RW","2024-08-06","Soil","R","14-SL1-RW-R","RD32","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","14-SL1-RW-R","Soil","SL1-RW","RW-1","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD33",32230,"RD33",1385173,"RW","SL1","SL1-RW","2024-08-06","Soil","R","15-SL1-RW-R","RD33","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","15-SL1-RW-R","Soil","SL1-RW","RW-1","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD34",32097,"RD34",1385174,"RW","SL2","SL2-RW","2024-08-06","Soil","R","22-SL2-RW-R","RD34","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","22-SL2-RW-R","Soil","SL2-RW","RW-2","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD35",34032,"RD35",1385175,"RW","SL2","SL2-RW","2024-08-06","Soil","R","23-SL2-RW-R","RD35","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","23-SL2-RW-R","Soil","SL2-RW","RW-2","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD36",32904,"RD36",1385176,"RW","SL2","SL2-RW","2024-08-06","Soil","R","24-SL2-RW-R","RD36","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","24-SL2-RW-R","Soil","SL2-RW","RW-2","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD37",42638,"RD37",1385177,"BS","US","US-BS","2024-08-06","Soil","R","31-US-BS-R","RD37","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","31-US-BS-R","Soil","US-BS","BS-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD38",30769,"RD38",1385178,"BS","US","US-BS","2024-08-06","Soil","R","32-US-BS-R","RD38","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","32-US-BS-R","Soil","US-BS","BS-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD39",26528,"RD39",1385179,"BS","US","US-BS","2024-08-06","Soil","R","33-US-BS-R","RD39","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","33-US-BS-R","Soil","US-BS","BS-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD4",41707,"RD4",1385144,NA,NA,NA,"2024-09-01","Soil",NA,"BS1","RD4","2024-09-01","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","BS1","Soil","GH: Soil + BS","GH: Soil + BS","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD40",20984,"RD40",1385180,"BS","SL1","SL1-BS","2024-08-06","Soil","R","40-SL1-BS-R","RD40","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","40-SL1-BS-R","Soil","SL1-BS","BS-1","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD41",33381,"RD41",1385181,"BS","SL1","SL1-BS","2024-08-06","Soil","R","41-SL1-BS-R","RD41","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","41-SL1-BS-R","Soil","SL1-BS","BS-1","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD42",26475,"RD42",1385182,"BS","SL1","SL1-BS","2024-08-06","Soil","R","42-SL1-BS-R","RD42","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","42-SL1-BS-R","Soil","SL1-BS","BS-1","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD43",26452,"RD43",1385183,"BS","SL2","SL2-BS","2024-08-06","Soil","R","49-SL2-BS-R","RD43","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","49-SL2-BS-R","Soil","SL2-BS","BS-2","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD44",26044,"RD44",1385184,"BS","SL2","SL2-BS","2024-08-06","Soil","R","50-SL2-BS-R","RD44","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","50-SL2-BS-R","Soil","SL2-BS","BS-2","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD45",20143,"RD45",1385185,"BS","SL2","SL2-BS","2024-08-06","Soil","R","51-SL2-BS-R","RD45","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","51-SL2-BS-R","Soil","SL2-BS","BS-2","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD46",15241,"RD46",1385186,"C",NA,"C","2024-08-06","Soil","R","58-C-R","RD46","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","58-C-R","Soil","C","control-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD47",49955,"RD47",1385187,"C",NA,"C","2024-08-06","Soil","R","59-C-R","RD47","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","59-C-R","Soil","C","control-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD48",42737,"RD48",1385188,"C",NA,"C","2024-08-06","Soil","R","60-C-R","RD48","2024-08-06","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","60-C-R","Soil","C","control-0","TP2","R","R_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD49",46418,"RD49",1385189,"RW","US","US-RW","2024-08-18","Soil","L","7-US-RW-L","RD49","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","7-US-RW-L","Soil","US-RW","RW-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD5",44783,"RD5",1385145,NA,NA,NA,"2024-09-01","Soil",NA,"BS2","RD5","2024-09-01","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","BS2","Soil","GH: Soil + BS","GH: Soil + BS","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD50",40984,"RD50",1385190,"RW","US","US-RW","2024-08-18","Soil","L","8-US-RW-L","RD50","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","8-US-RW-L","Soil","US-RW","RW-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD51",43879,"RD51",1385191,"RW","US","US-RW","2024-08-18","Soil","L","9-US-RW-L","RD51","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","9-US-RW-L","Soil","US-RW","RW-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD52",53682,"RD52",1385192,"RW","SL1","SL1-RW","2024-08-18","Soil","L","16-SL1-RW-L","RD52","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","16-SL1-RW-L","Soil","SL1-RW","RW-1","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD53",74227,"RD53",1385193,"RW","SL1","SL1-RW","2024-08-18","Soil","L","17-SL1-RW-L","RD53","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","17-SL1-RW-L","Soil","SL1-RW","RW-1","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD54",62773,"RD54",1385194,"RW","SL1","SL1-RW","2024-08-18","Soil","L","18-SL1-RW-L","RD54","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","18-SL1-RW-L","Soil","SL1-RW","RW-1","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD55",37606,"RD55",1385195,"RW","SL2","SL2-RW","2024-08-18","Soil","L","25-SL2-RW-L","RD55","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","25-SL2-RW-L","Soil","SL2-RW","RW-2","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD56",36388,"RD56",1385196,"RW","SL2","SL2-RW","2024-08-18","Soil","L","26-SL2-RW-L","RD56","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","26-SL2-RW-L","Soil","SL2-RW","RW-2","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD57",39216,"RD57",1385197,"RW","SL2","SL2-RW","2024-08-18","Soil","L","27-SL2-RW-L","RD57","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","27-SL2-RW-L","Soil","SL2-RW","RW-2","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD58",44493,"RD58",1385198,"BS","US","US-BS","2024-08-18","Soil","L","34-US-BS-L","RD58","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","34-US-BS-L","Soil","US-BS","BS-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD59",60272,"RD59",1385199,"BS","US","US-BS","2024-08-18","Soil","L","35-US-BS-L","RD59","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","35-US-BS-L","Soil","US-BS","BS-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD6",46847,"RD6",1385146,NA,NA,NA,"2024-09-01","Soil",NA,"BS3","RD6","2024-09-01","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","BS3","Soil","GH: Soil + BS","GH: Soil + BS","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD60",31334,"RD60",1385200,"BS","US","US-BS","2024-08-18","Soil","L","36-US-BS-L","RD60","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","36-US-BS-L","Soil","US-BS","BS-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD61",50438,"RD61",1385201,"BS","SL1","SL1-BS","2024-08-18","Soil","L","43-SL1-BS-L","RD61","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","43-SL1-BS-L","Soil","SL1-BS","BS-1","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD62",37858,"RD62",1385202,"BS","SL1","SL1-BS","2024-08-18","Soil","L","44-SL1-BS-L","RD62","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","44-SL1-BS-L","Soil","SL1-BS","BS-1","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD63",15379,"RD63",1385203,"BS","SL1","SL1-BS","2024-08-18","Soil","L","45-SL1-BS-L","RD63","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","45-SL1-BS-L","Soil","SL1-BS","BS-1","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD64",49394,"RD64",1385204,"BS","SL2","SL2-BS","2024-08-18","Soil","L","52-SL2-BS-L","RD64","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","52-SL2-BS-L","Soil","SL2-BS","BS-2","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD65",65294,"RD65",1385205,"BS","SL2","SL2-BS","2024-08-18","Soil","L","53-SL2-BS-L","RD65","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","53-SL2-BS-L","Soil","SL2-BS","BS-2","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD66",38014,"RD66",1385206,"BS","SL2","SL2-BS","2024-08-18","Soil","L","54-SL2-BS-L","RD66","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","54-SL2-BS-L","Soil","SL2-BS","BS-2","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD67",62754,"RD67",1385207,"C",NA,"C","2024-08-18","Soil","L","61-C-L","RD67","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","61-C-L","Soil","C","control-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD68",47807,"RD68",1385208,"C",NA,"C","2024-08-18","Soil","L","62-C-L","RD68","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","62-C-L","Soil","C","control-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD69",41573,"RD69",1385209,"C",NA,"C","2024-08-18","Soil","L","63-C-L","RD69","2024-08-18","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","63-C-L","Soil","C","control-0","TP2","L","L_TP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD7",45535,"RD7",1385147,"BS","US","US-BS","2024-08-26","Soil","P","28-US-BS-P","RD7","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","28-US-BS-P","Soil","US-BS","BS-0","TP2","P","P_TP2",0.231453291294454,-0.00987016342804853,-0.0586631218515008,0.161922133646552,0.0260072373257055,-0.284127504347508,-0.487070331358362,-0.0926434188988374,0.488527358735454,0.148768699448728,17.0906347267917,0.713561310810563,8.61773876012754,1289.22705051876,135.408688270088,309.148913488068,35.4442422993428,172.420668191214,3.8203296074578,8.50752294810347
"RD70",29344,"RD70",1385210,"RW","US","US-RW","2024-07-11","Soil","P","1-US-RW-P","RD70","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","1-US-RW-P","Soil","US-RW","RW-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD71",26746,"RD71",1385211,"RW","US","US-RW","2024-07-11","Soil","P","2-US-RW-P","RD71","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","2-US-RW-P","Soil","US-RW","RW-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD72",67869,"RD72",1385212,"RW","US","US-RW","2024-07-11","Soil","P","3-US-RW-P","RD72","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","3-US-RW-P","Soil","US-RW","RW-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD73",22867,"RD73",1385213,"RW","SL1","SL1-RW","2024-07-11","Soil","P","10-SL1-RW-P","RD73","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","10-SL1-RW-P","Soil","SL1-RW","RW-1","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD74",49740,"RD74",1385214,"RW","SL1","SL1-RW","2024-07-11","Soil","P","11-SL1-RW-P","RD74","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","11-SL1-RW-P","Soil","SL1-RW","RW-1","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD75",61534,"RD75",1385215,"RW","SL1","SL1-RW","2024-07-11","Soil","P","12-SL1-RW-P","RD75","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","12-SL1-RW-P","Soil","SL1-RW","RW-1","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD76",26242,"RD76",1385216,"RW","SL2","SL2-RW","2024-07-11","Soil","P","19-SL2-RW-P","RD76","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","19-SL2-RW-P","Soil","SL2-RW","RW-2","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD77",34826,"RD77",1385217,"RW","SL2","SL2-RW","2024-07-11","Soil","P","20-SL2-RW-P","RD77","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","20-SL2-RW-P","Soil","SL2-RW","RW-2","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD78",60646,"RD78",1385218,"RW","SL2","SL2-RW","2024-07-11","Soil","P","21-SL2-RW-P","RD78","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","21-SL2-RW-P","Soil","SL2-RW","RW-2","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD79",76720,"RD79",1385219,"BS","US","US-BS","2024-07-11","Soil","P","28-US-BS-P","RD79","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","28-US-BS-P","Soil","US-BS","BS-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD8",38744,"RD8",1385148,"BS","US","US-BS","2024-08-26","Soil","P","29-US-BS-P","RD8","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","29-US-BS-P","Soil","US-BS","BS-0","TP2","P","P_TP2",-0.0290722023277127,-0.00553829183550223,-0.335354788037396,-0.451903977393939,-0.253620185480674,-1.8908916125428,-0.911819370702885,-0.39117979707013,0.633648975273597,-0.229292460581598,14.2669849794566,0.715707087411031,7.11378660898013,842.460093135216,111.550183527341,101.504087647911,26.404837267884,140.191253576081,4.22461166473534,6.54629209920205
"RD80",79180,"RD80",1385220,"BS","US","US-BS","2024-07-11","Soil","P","29-US-BS-P","RD80","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","29-US-BS-P","Soil","US-BS","BS-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD81",91638,"RD81",1385221,"BS","US","US-BS","2024-07-11","Soil","P","30-US-BS-P","RD81","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","30-US-BS-P","Soil","US-BS","BS-0","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD82",74219,"RD82",1385222,"BS","SL1","SL1-BS","2024-07-11","Soil","P","37-SL1-BS-P","RD82","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","37-SL1-BS-P","Soil","SL1-BS","BS-1","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD83",75817,"RD83",1385223,"BS","SL1","SL1-BS","2024-07-11","Soil","P","38-SL1-BS-P","RD83","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","38-SL1-BS-P","Soil","SL1-BS","BS-1","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD84",65812,"RD84",1385224,"BS","SL1","SL1-BS","2024-07-11","Soil","P","39-SL1-BS-P","RD84","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","39-SL1-BS-P","Soil","SL1-BS","BS-1","TP1","P","P_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
